Luhya_Loogoli,Kiswahili
A la kadze kuvugula  Vatakatifu va Nyasaye A Ia kadze kuvahila  Vatovole va Nyasaye,Atakuja kunyakua watakatifu wa Mungu Atakuja kuwalaki wateule wa Mungu
"NdoIi vindu vyobugasu Vyavitanga vya nda lola  Hambi, m?lole vindu zana","Nimeona vitu safi, Zaidi kushinda vyote, njoni nyote tusadiki"
Yesu alanganga mwinye Yenya voosi kudza bwangu  A lombanga vindu vyosi.,Nyote njoni awaita Fanya hima tuje wote Ndiyue mweza wa yote
Inze mwene si nda manya  Mwami wange ha a veeye  Mwene amanya bulahi.,Sinayo yote fahamu Aliko Mwokozi wangu Ndiye yeye ajuaye
Nunu a langanga mwinye  Mucdze himbi ha a veeye  Ala mu ha ubugasu.,"Sote twaitwa kwake, Tuje karibu naye Tupopokee utakaso"
A ve bobuyanzi bwosi Mwinye ni mulonda Yesu Mu la nyoola vya mwa daka,Ni furaha ilo je sote kumfuata Yesu atulishe tushibishwe
"Kale si nda manya lve,  lve mwene wa nanga:  Nyenya nduke ha u veeye",Nilikosa kufahamu ukanita kaitika Ninataka niwe nawe
UBULAHI WE LIROVA,UZURI WA ULIMWEGU
"Kigira lirova lyosi, kandi bwerefu yaho","Kwa sabau ya ulimwengu, na hat mbingu"
Kigira buyanzi bubwo bu ku kumbiridzanga,Kwa sababu ya pendo lako liltukumbatialo
"Ku santidzanga lve, Nyasaye wobukumi:","Twakushukuru wewe, Mungu Mtakatifu"
Kigira bulahi bwosi bwombasu bobuIiku,"Kwa sababu ya uzuri wako,mchana na usiku"
"Vigulu kandi vivanda, misala no vimuli,","Milima na mabonde, miti na hata maua"
"Kigira yava venyumba, mwavo, mbotso vivuli","Kwa sababu ya jamii yangu, bdugu, dada na wazazi wangu"
"Valina vetu vosidza, tsimbabasi tsya voosi.","Marafi wetu wote, msamaha kwao wote"
"Kigira ve livugana, kusantidia munono.","Kwa sababu ya waumini, twashukuru sana"
"Kigira buhaani bwetu, vihaanwa vyo buyanzi.",Kwa sababu ya ukarimu wetu. Twazawadi kwa furaha
"Kigira vihaanwa yivi ku tsihiri tsiosidza,","kwa sababu ya zawadi hizi, kwa  makabila yote bila ubaguzi"
Ku Ia kulonda bulahi madiku getu gosi.,Tutakuandama siku zote za maisha yetu.
MWOYO GWANGE GUVEYE NO BUYANZI,NIKO NA FURAHA MOYONI
"Mbeye no lwimbu mwoyo gwange,",Nina wimbo moyoni wmangu
Lutwulanga mwigulu;,Utokao mbinguni
"Luveeye lwimbu lunolu muno,",Wimbo ulio mtamu sana
No lwimbu lwo buyanzi.,Ni wimbo wa furaha
"Mwoyo gwange guyanzi muno,",Moyo wangu hufurahia mno
"Yee guyanzi muno,",Hakika hufurahia mno
"No lwimbu lunolu,",Kwa wimbo mtamu
"Mwoyo gwange guyanzi muno,",Moyo wangu hufurahia mno
"Yee, Guyanzi munonono.","Hakia, Hufurahia tena sana"
"Yesu yakudza ha Kalvary,","Pale lalvary, Yesu alikufa"
"Kuhonya mwoyo gwange,",Moyo wangu kuuponya
"Yavika lwimbu mu mwoyo gwange,",Akanipa wimbo moyoni mwangu
Lumenyanga mu kase.,Wimbo unaodumu milele
"Ndamenya nalwo kase kase,",Huimba wimbo huu siku baada ya siku
"Ndimba ne tsingelosi,",Nitaimba pamoja na malaika
Luliva Iwimbu lwo busangali.,Utakuwa wimbo wa kumsifa
Lwakulimba mwigulu.,Ni wimbo tutaimba mbinguni
MWIDZOMINYE NYASAYE NO MWANA,ATUKUZWE MUNGA NA MWANA
Mwidzominye Nyasaye,Tumsifu Mungu
Netsinyimbu tsindahi;,Kwa nyimbo tamu
Khutsimbabasi yitsi,Kwa neema zake
E tsi kha nyala khuhwa.,Zisiko pungua
Niye wa lomba mweli,Yeye aliyeumba mwezi
"Ogwakhana ni mwami,",Uwakao kwa nguvu za Mungu
Khu yanze miyinzi gye,Kazi zake tupende
Gyi li netsingulu tsye.,Nguvu zake zatambulika
Khuvira vindu vyosi,Twaamini nguvu za Mungu
Ni likhudza lya Yesu;,Hata kifo cha Yesu Kristo
Ya Ii muderwa wewe;,Mwana wake wa pekee
Ya haana masahi ge.,Aliyemwaga damu yake
Vilombe vivye vyosi,Viumbe wake wote
Mu sigame mu Saale;,Wasujudu wamuabudu
Khu tsimbabasi yitsi.,Kwa neema zake
E tsi ka nyala khuhwa.,Zisizo pungukiwa
Nwami ntsitsa khu ive;,Naja kwako Eh Bwana
Vugula mwoyo gwange.,Utwae moyo wangu
"Khuli mushingi wange,",Unifanya kiumbe kipya
Vagehi venya ive.,Twakuhitaji wewe
NYENYA TSINIMI ELFU MOJA,NITENENA NDIMI ELFU MOJA
Nyenya tsinimi elfu moja,Nitanena ndimi elfu moja
"Khwidzominya Yesu,",Nimsifu yesu
"Shigira ubuyanzi bwibwe,",Kwa upendo wake
"Khandi tsimbabasi,",Na neema zake
"Yeu Kristo, Mwami wange,","Yesu Kristo, Baba yangu"
Nkhonye khwililwadzira,Nitahubiri wema wake
"Khu vandu voosi ha nda tsia,",Kote kote kwa watu wote
Va manya Lyerha Lyo.,Watambua Jina lako
"Nyee, Lyerha Yesu linulu,","Hakika, Jina Yesu ni tamu"
Li leminya myoyo:,Latulita nyoyo
"Li khunga uburhii bwosi,",Latufanya jasiri
Li lerha ubuyanzi.,furaha kwalo twapata
Ya boholola vahambe,Wafungwa hufanywa huru
Na masahi gege;,Kwa damu yake
Inyingi ya khukhudzera,Alipotufia kwa pendo
"Khu msalaba, khale.",Pale msalabani
YIDZOMINYWE MWAMI YESU,ATUKUZWE BWANA YESA
Yidzominywe Mwami Yesu:,Atukuzwe Bwana Yesu
Umwana Wa Daudi,Mwana Wa Daudi
"Yidzominywe U tovoiwa,",Atukuzwe Mteule
"U tangi kwameha,",Mfalme mpya
A Ia duuka Kubobolola,Atafika kuweka huru
Vahambe mu kivi,Wafungwa wa dhambi
Ku twulidza bwosi,Kuosha dhambi zote
Nokwameha hoosi.,Pote kutawala
A la duuka hasi hano,Hapa dunia atafika
Kwirova lyamanga;,Nchi ya mazao
Ubuyanzi lisangaIa,Kwa furaha kumtukuza
Inyinga yivulwa.,Azaliwapo Bwana
"Imbiri wo Umwami wetu,",Mbele ya Bwana wetu Yesu
Buyanzi bu la va,Furaha twapata
Kisinuku kyobuyanzi.,Chemichemi ya furaha
Liduukanga hoosi.,Twaipata wote
"Avami va la mwidzominya,",Watasujudu watawala
Va la haana thahabu;,Sadaka kutoa
Vetsihiri va la duuka,Mataifa yatafika
"Kwimba lidzominya,",Na nyimbo za kumsifu
"Kigira a veeye Umwami,",Hakika kweli ndiye Bwana
Ku madzi na vyosi,Juu ya maji na vyote
"A la meha kuli indidzu,",Kama ninga atawale
Na kuli likulu.,Kama njiwa atawale
UMULINDI WETU,U MLINZI WETU
Oh Nyasaye Umulindi,Eh Mungu mlinzi
"Wa linda vandu vo,",Walinda watu wako
Kutwula mu buhambe,Kutoka utumwani
U va linde kazozo.,U mlinzi kila siku
Lisaala lyetu kuleta,Zetu saala twaleta
"Ha virenge vivyo,",Miguunui mwako
Nyasaye Muhonyi wetu.,Mungu Mwokozi wetu
Nomulindi wetu:,U mlinzi wetu
Ku tsinzira tsyetu tsyosi:,Katika njia zetu zote
U la kwimirira,Unatuongoza
U ku he vya ku saalanga,Jibu maombi yetu
Na u la ku linda.,Na uwe mlinzi wetu
"U ku kunike voosidza,",Tufunike sisi sote
"Na ku la ku londa,",Tutakufuate wewe
"Na kuduuka lwa u lidza,",Hadi kurudi lwako
Na u la kuhila.,Kutuchukua kwenda nawe
O KADALA KA BETHELEHEMU,MJI MDOGO WA BETHLEHEM
"Lidala lya Bethelehemu lye lemelidzanga,",Mji wa mtulivu wa bethlehem
"Igulu mu ubwerefu, Voosi va yanzanga,","Juu mbinguni, wote wanafurahia"
"Kivalaki sangalanga kigira bulavu,",Nchi inachangilia kwa sababu ya mwanga
Lyenya Iyosi lyemihigi li nyoleki lero.,Leo tumepata tumaini la milele
"Kristo wivulwa na Maria, Mwana wi Nyasaye","Kristo Mwana wa Mungu, kazaliwa na Maria"
"Tsingelosi va lindanga, Voosi va yanzanga","Malaika washika dhamu, wote washangilia"
"Tsing?ereng?ani tsi henza, tsi manya livulwa,","Nyota juu mbinguni, ishara ya Mwana kuzaliwa"
"Yimbi, mwidzominye Mwami, vandu va yanzeywi.","Imbeni, sifuni Bwana, wapendwa wa Mungu"
Nobuyanzi bwe lihuga ku khannwa zana!,Ni furaha ya ajabu kwa zawadi ya Mtoto
"Muye Mwami a va manyia ubuyanzi bwibwe,","Ndani yeye, upendo wa Bwana unadhihirika"
"Liidza lilye si lila manywa mu lirova lyosi,",Kuja kwake ni kwa wale wanaoamini
Mu myoyo milungi muno Kristo a lingira,Kristo apate kuingia katika nyoyo safi
"0, Mwana wa Bethelehemu ku saala ku lve;",Twaomba kwako Oh Bethlehemu
"Twulidza bwoni, wingire, Wivulwe mu kwinye:","Ondoa zambi zetu, uingie, uzaliwe ndani yetu"
"Kwimbanga livulwa liyo, Ii landidza hoosi,","Twaimba ujio wake, twatangaza kote kote"
"Hamba, mwadza, U ku linde Mwami Imanueli.","twakusihi njoo, Emmanueli utuponye"
"KWIDZOMINYA YESU LERO  								                        T: NJONI NA FURAHA","Njoni na furaha, Enyi wa Imani"
"Avandu va Kristo mu sangale nunu,",Njoni Bethlehemu upesi!
Kigira Yesu yivulwa mu Bethelehem;,Amezaliwa jumbe wa la mbinguni
"Hambi kulole Yesu Mwami wetu,","Njoni tumwabudu, njoni tumwabudu"
"Kwinye ku mu yanza, kwinye ku muyanza","Njoni tumwabudu, MWokozi."
"Kwinye ku mu yanza, A Yesu Mwami.",Mungu wa waunguMwanga wa mianga
Nyee mwimba aveve mwidzominye Yesu,Amekuwa radhi kuzaliwa
Muginge lyeta lilye igulu lero.,"Mungu wa kweli, wala si kiumbe"
Mu he bukumi. a veeye Nyasaye.,"Jeshi la mbinguni, imbeni kwa nguvu"
"Nyee, Yesu. Omwami ku Ia ku cheridza;",Mbingu zote na zuijae sifa!
Kigira wa duuka hano kukuhonnya.,Sifuni Mungu aliye mbinguni
Lero kudzanga kusantidza ive.,"Ewe Bwana mwema, twakubarikia"
"Omwana wa Dada ya twula ingo wewe,",Yesu utukufu uwe wako
"Yivulwa mu Maria kukonya avandu,",Neno la baba limekuwa mwili.
Mudze kalunu kumusigamire.,"Leo sikizeni waimba malaika,"
"Huliri kalunu tsingelosi vimba,","Wakimusifu Yesu, Mwokozi"
"Makuva gokwidzominya Yesu, Mwami",Sote tuimbe tumusifu Mungu
Kwinye kalunu ku la mu santidza.,"O Yeu Mwokozi, twaja kwako leo"
"Ku Yesu, Omwami, ku lidiku yiri,",Twaimba nyimbo za kukuabudu
Kuleta makuva gokumukuminya.,Twafurahia kumsifu Yesu.
Kwinye kuyanza kwidzominya Yesu.,FURAHA KWA ULIMWENGU
UBUSANGALI BU VE KU LIROVA,Furaha kwa ulimwengu Bwana amekuja
Ubuyanzi bu ye hosi Yesu udzi hasi,"Nyote mukaribisheni, Mioyo yenu na mpeni"
"Avandu ve lirova mu bugiriri Mwami,","Wote tumshangilie, wote tumshangilie"
"Vandu voosi vimbe, vandu voosi vimbe,",Na wote na wote wamshangilie.
"Vandu, vandu voosi vimbe.","Furaha kwake dunia, MwokoziniMfalme"
Ubuyanzi bu ve hoosi; Vandu voosi vimbe;,"Bonde na mlima na mwamba, maji mitoni na shamba,"
"Vigulu ne vivanda, vi landidze makuva.","Rudisheni sauti, rudisheni sauti"
"Mwami wetu, udzi, Mwami wetu udzi,","Rudisheni, na rudisheni sauti."
"Mwami, Mwami wetu, udzi.","Dhambi zisiongezeke, wala wahalifu"
"Ubwoni si bu nyala mba, Kwameha avandu:","Yuaja kutubariki, atuletea ushindi,"
"Yesu a li Muhonyi kutwulidza ubwoni,","Kuharibu dhambi, kuharibu dhambi"
"Voosi va msuuvira, Voosi va msiluvira","Na kuharibu , na kuharibu dhambi."
"Voosi, voosi va msuuvira.","Atawala na neema, kwao mataifa"
Leta ku Yesu bukumi! Vakristayo voosi:,"Utukufu na waone, haki yake itendeke"
Ku mwidzominyanga Iyeta lilye kalunu:,"Kwa upendo wake, kwa upendo wake"
"Kwimbekuye lero, Kwimbe kuye lero,","Kwa upendo, na kwa upendo wake"
"Kwimbe, kwimbe kuye lero.",WACHUNGA WALIPOLINDA
INYINGA AVAYI VAYA,Wachunga walipolinda
A vayi vaya mmbudiku,"Kucha nyama zao,"
"Voosi ni vikaye,",malaika mtukufu
Ingelosi wa Nyasaye,Alishuka kwao.
Ya loleka kuvo.,Wakacha sana wachunga
Mu ta tia mba mu letera,Akawatuliza
Lingana lyomwana;,?Nawaletea habari
Buyanzi bunene muno,Ya kuwapendeza.?
Ku mwinye na voosi.,?Mji ule wa Daudi
Mu lidala Iya Daudi,Leo amezaliwa
Yivuliywi mwana:,"Mwokozi, ni Kristo Bwana"
Muhonyi Yesu Umwami,Ilivyoandikwa:
Ngiki kilolero.,?Huyo Mwana wa mbinguni
Mwana womwigulu Yesu,"Ataonekana,"
Yivulwa ku vandu;,Amelazwa kihorini
U lingiywi mu tuguvo,Malazi hapana.?
Ma a ye mu kego.,Alipokwisha yanena
Kuminyi Nyasaye voosi.,Malaika hao
"Mirembe, mwirova;",waliimba wimbo huu
Kihanwa kinene muno,Usio na mwisho
"Vuguli, mu linde.",KUZALIWA KWA YESU
LIVULWA LYA YESU,"Alizaliwa, huko Bethlehemu"
Yesu yivulwa mu Bethlehemu.,Wakati wa hesabu ya nchini
Lwa avivuli va tsia kung?odwa,"Akalelewa, mguo za kitoto"
Na va mu lingira mu ingubo yomwana,Jina lake akaitwa Yesu
Va mu gulika ilyeta Vesu,"Yesu mwokozi, katoka mbinguni"
"Yesu. Musoli, ya twula mwigulu.","Kaja dunia, kuishi na sisi"
Ya gwa mudambi halala na kwinye,"Akalelewa, walivyo watoto"
"Ma ya viruka kuli avana,",Akawa wa kumpendeza Mungu
Na a yanzidza Nyasaye.,Walipolinda wanyama wao
Avayi va linda magondi mbudiku.,Wachunga waliona malaika
Lwe tsingelosi va twula mwigulu.,"?Habari njema, nawalwaletea"
"Na a va va volera, ?Ku leta makuva",Walimwengu waokoke nwote?
Gokuyanzidza avandu voosi?,"Liposikika, habari za mwana"
"Lwa va hulira va tsia midala,",Wakatafuta kitoto na mama.
Va nyoola akana halala na nnya;,Kwa furaha tele na mshangao
Na voosi va genya Iwa va hulira,Ujumbe mzuri ya wachungaji
Makuva malahi ga vayi va voola.,Tutamwabudu milele daima
Kandi kalunu ku Ia sangala,Habari njema tuikumbukapo
Lwa kwidzulitsa makuva malahi,"Kwa pendo la dhati, tumsudie"
Na ku Ia mu yanza madiku gosi.,"Yesu muumba, Mwokozi Bwana."
"Yesu Mulombi, Muhonyi, no Mwami",LEO NI SIKU KUU
NI SIGUKU LERO,"Ni siku kuu leo, ni siku kuu leo"
"Ni Siguku lero, ni Siguku lero;","Njooni wote, tushiriki pamoja upendo wa Mungu"
"Hambi mwinye, kuvugane mu buyanzi bwa Nyasaye;",watoto wote tumwimbie hii siku kuu
"Avana mu mwimbire mu Siguku yiyi,",Mtangaze habari ya kuzaliwa kwa Yesu
"Mu landidze amang?ana, Yesu wivuliywi.","Ni siku kuu leo, ni siku kuu leo"
"Ni siguku lero, ni Siguku lero;",Tangazeni utukufu wa Mwana kwa mataifa yote
Mu volere vandu voosi ubukumi bwa akana,"Waje nao washuhudie, pamoja na malaika"
"Vadze ku ka lola, tsingelosi vadza,",Ujumbe wa amani anoaulete Yesu Kristo
Ni va vola Yesu yadza ku mu ha mirembe.,"Ni siku kuu leo, ni siku kuu leo"
"Ni Siguku lero, ni Siguku lero,","Kote tgwendapo, tutangaze habari njema"
"Tsii mu vivala vyosi, mu landidze amang?na",Nyoyo zao zivunjike wasikiapo habari hii
Myoyo gyavo gya hya inyinga va hulira,"Ujumbe wa amani, na kuza;iwa kwa Yesu"
"Amang?ana gemirembe, Yesu wivuliywi.","Ni siku kuu leo, ni siku kuu leo"
"Ni Siguku lero, ni Siguku lero,",Tumsifu Yesu Kristo atuleteaye furaha
Kwenya kwidzominya Yesu wa ku letera buyanzi,"Kwake siku ya leo, tunataka kuomba"
"Kwenya ku musaale, ku lidiku yili,","Toa zako habari leo, upesi Yesu yuaja"
"Voola bwangu amang?ana, Yesu yadze lero.","Wato wote na wajue, Yesu yuaja leo"
"Kwenya voosi va hulire Yesu yadza lero,","Ni siku kuu leo, ni siku kuu leo"
Ni Siguku lero: ni Siguku lero:,"Tunaposema habari zake, Mtoto Mtakatifu"
"Lwa ku voola amang?ana, ga akana kobukumi;",Mwenye pendo kwa watu wote.
A Ii nobuyanzi kuvo voosi lero;,HABARI ZA KUZALIWA KWA YESU
YESU YIVULWA NDI,"Amri ilitolewa, enzi ya mfalme"
Kale mmandiku yago munwa gwa twula,Kaiza Agostino kusajili watu
"Ku Kaisari Augusto kuug?odwa,",Yusuf kaondoka kwenda Bethlehem
"Yosefa ya ka tsia ha Bethlehemu,",Pamoja na mkewe Maria
"Halala na Maria, mukali",Huko walikoishi kazaliwa Yesu
Lwa va menyanga yeyo Yesu yivulwa.,Kifungua mimba mwana wa kiume
Ya li muyai wewe wembiri,"Kalazwa porini, zizini mwa ng?ombe"
Ya gona he tsing?ombe tsi lira Ku,Hapakuwa na nafasi chumbani
Si ha Ii nobugono bulahi,Hata nao wachunga walikuwapo
A vayi va li ho mu kivala zana,Naye malaika kawapasha
Na ingelosi ya va volera:,"Leo mwokozi wetu, akiwa Kristo"
"Lero muhonyvi wetu, a veeve Kristo",Amezaliwa mji wa Betjhlehem
Yivulwa mu lidala lye Bethlehemu.,"Hima walifika, wakawapata,"
"Kandi va tsia bwangu, ni va va nyola,",Maria na Yusuf na mtoto
"Maria na Yosefa na akana,",Walipomuona Yesu wakawaambia
"Lwa va ka lola Yesu va va volera,",Ujumbe walipata kwa mtoto huyu.
Makuva ga va nyola ku akana yaka.,Kwa mshangao mkuu waliwasikiza
"Inyinga Va hulira, va genya voosi,",Yale wachunga waliyanena
Ku vindu vya avayi va va volera:,Naye Maria kachukua ujumbe huu.
"Na Maria ya vika makuva yaga,",Akawaza  yote haya moyoni mwake.
Na a ga ganagana mu mwoyo gwigwe.,ALIKUJA KUNIOKOA
YADZA KUMBONNYA,yesu alipofika toka mbinguni
"Lwa Yesu ya twula mwigulu,",Alifika kuniokoa
Yadza ku mbonnya;,Akanifia msalabani
"Ku msalaba ya nkudzera,",Alikuja kuniokoa
Yadza kumbonnya.,"Nitamtukuza, nitamtukuza"
"Nda sangala, nda sangala,","Nitamtukuza, Yesu aliyelete"
"Nda sangala, Yesu ya leta",Neema
Tsimbabasi;,"Nitamtukuza, nitamtukuza"
"Nda sangala, nda sangala.","Nitamtukuza, nitamtukuza"
Nda sangala. Yesu yadza,Aliyekuja kuniponya
Yadza kumbonnya.,Huishi Rohoni Mwangu
"Mu mwoyo gwange a menyanga,",Aliyekuja kuniponya
Yadza ku mbonnya;,Jina lake litukudzwe
"Nzidzominyanga lyeta Iilye,",Aliyekuja kuniokoa
Yadza kumbonnya.,Nao mkono wake huniongoza
"No mukono gwigwe, gunzimirira",Aliyekuja kuniokoa
Yadza ku mbonnya;,Wala sitaogopa mabaya
Na si nda tia kindu mba,Aliyekuja kuniokoa
Yadza kumbonnya.,Namuamini yesu hata sasa
Na Suuviranga Yesu nunu,Aliyekuja kuniokoa
Yadza kumbonnya:,Nafsi yangu inakusifu
Mwoyo gwange gu sangalanga,Aliyekuja kuniokoa
Yadza kumbonnya.,KUZALIWA KWA YESU NA UFUFUO WAKE
LWIMBU LWE INGELOSI,"Waimba sikizeni, Malaika mbinguni"
"Va Ii ho mu Bethlehemu avayi va linda Kyayo,","Wimbo wa tamu sana, wa pendo zake BNwana"
Na va lola ingelosi yikakuvo ubudiku.,"?Duniani salama, Kwa wa kosa rehema"
Ya letera amakuva amalahi gobuyanzi.,"Sisi sote na twimbe, Nao wale wajumbe"
Ga la va ga vandu voosi. Krito Mwami wivuliywi.,"Waimba, sikizeni"
Nunu kwinye Kwidzominya,Malaika mbinguni.
Yesu Kristo wivuliywi,"Ndiye Bwana wa mbingu, Tangu milele Mungu"
Tsingelosi vandi vika avanyingi kuli lihe,"Amezaliwa mwili, Mwana wa mwanamwali"
"Vidzominyanga Nyasaye, namakuva amalahi","Ametoka enzini, kuja ulimwenguni"
?Ubukumi Ku Nyasaye nemirembe Ku ayandu?,"Mwokozi atufie, Ili tusipotee,"
"Voosi va la gasidzwa, lwa va manyi Omwami","Seyidi wa amani, Ametoka mbinguni"
"Kristo ave Uyanzeywi, Krito ave Mwami wetu","Jua la haki, ndiye, Atumulikiaye"
"Ku mu lola lwa ya duuka, yivulwa na fwana kwinye","Amejivua enzi, Alivyo na mapenzi"
Ya loleka kuli mundu navutswa ave Nyasaye:,"Ataka kutuponya, kutuzalisha upya"
Mwene ya tovola kuudza nokumenya na vandu:,"Njoo upesi, Bwana, Twakutamani sana"
"Ave Mwami wemirembe, ave Mundu wobulungi","Kaa nasi, Mwokozi, vita hatuviwezi"
"Livamwoyo nobulavu a letera vumkivala,","Vunja kicha cha nyoka, Sura zako andika"
Yegehidza na a leka ubukumi bwibwe bwosi.,"Tufanane na Wewe, kwetu sifa upewe"
Kuvukidza avadivi va lavidzwe mu masahi,"Eh Bwana njoo kwetu, daima kaa nasi"
"O Nyasaye, udze, nunu menya mu mbiri gyetu;","Pamoja katika vita, tumshinde shetani"
U ku konye kumuguute uyu umusigu wetu.,"Mioyo yetu safisha, tufanane na wewe"
"Girunkanya myoyo gyetu, gyi dukidzwe kuli lve.","Mungu Mwana wa mbinguni, tufikishie furaha"
Mwami Yesu womwigulu leta ubuyanzi bubwo.,"Msaidizi yu karibu,"
"Mukon a li himbi nunu,",Wasioshindwa wake;
Va ta guutwa veve;,"Anawarai watu kwa nguvu,"
A tsuuva vandu netsingulu;,Wamsifu Yesu.
Vidzominye Yesu.,Jina lake litukuzwe
Lyeta liIye lidzominywe,Sisi sote tumpenda;
Kwinye kwosi ku mu yanze;,Yesu mwokozi yu karibu;
Yesu Mwami a li himbi;,"Yesu, Yesu, Yesu."
"Yesu, Yesu, Yesu.",Dhambi zenu ni nyingi
Ubwoni bwenyu no bunene,Ndiye wa kusamehe;
Yeu u samihi;,Nendeni kwa amani leo
"Mu tsie nemirembe lero,","Mtukuze Yesu,"
"Midzominye Yesu,","Ni jina lake tulipendalo,"
"Ni lyeta lilye Iya ku yanza,",Jina lake tu;
Lyeta lilye lyeng?ine;,Linatuondolea woga wetu leo.
Li kunga butii bwetu lero.,Tumtukuze Yesu.
Kwidzominye Yesu.,Nitamtukuza kabisa.
Nda midzominya munonono,Aliyenishindia:
Muguutiri wange:,Na nalipenda jina hilo
Na nyanza lyeta lyo,Mponyaji Namtukuza Yesu.
Muhonyi Nzidzominye Yesu.,"Yesu alikuja na kunikomboa,"
"Yesu yadza na a ndola,","Mimi niliyekuwa nimepotea,"
"Inze iwa nda diva bei,",Amenirejesha nan a ananilinda
"Ku, na a ndeta na a ninda",Nifike naye nyumbani kwake.
Nduuke naye hango he.,Yesu alikuja na kuwatafuta.
Yesu yadza na a venya,Waliopotea kuwaonyesha
Avadivi kuvamunnya,Njia yake.
Inzira ye.,Bwana Yesu wa mbinguni
Mwami Yesu womwigulu,Anaye wapenda wote kikamilifu
Wa va yanza voosi bei.,Naye unisaidiaye.
Naye u nkonyanga inze.,Nimeona uzuri wake.
Ndoli ubulahi bwe.,Yesu anakupenda wewe.
Yesu a ku yanza ive.,Usimtoroke Bwana;
Utiruka Mwami mba;,Njoo mwenye dhambi itika
Udze mwoni bugirira,Rehema leo hii.
Tsimbabasi nunuildi.,"Yesu anipenda, najua,"
"Yesu u nyanza, u manyire,",Ndiye mtetezi
Niye a musungirari:,Watoto wadogo wake
Avana vadidi avave,Watapata Amani yake.
Va Ia nyola amani gege.,Yesu anipenda
Yesu u nyanza,Yesu anipenda
Yesu u nyanza,Yesu anipenda
Yesu u nyanza,Alinirehemu.
Ya sungirangari.,Yesu anipendaye ndiye aliyekufa
Yesu u nyanza niye yafwa,"Ili sote tuokolewe,"
"Fwesi okho khusigula,",Atatufungulia milango ya mbingu
Ala khwigulira olwigi,Yeye ataosha dhambi zangu
Khwigalikhira ubwoni bwange,Yesu anipenda: ndiye pia
Yesu u nyanza: niye yesi,Aniachapo anilinda;
Ondekhela a li ninda;,Atatusaidia
A li khwosia ni khwikhonya,Atanikumbuka mbinguni.
A ii nzidzulira mwigulu.,"Mungu anipenda,"
"Yesu a yanzangainze,",Na watu wengine wote
Na vandu vandi voosi,"Tumepungukiwa na nguvu,"
"Tsingulu tsyerhu tsijehi,",Atatusaidia kabisa.
Ala khu khonya ligali.,Yesu anipenda.
Yesu a yanza inze.,"Yesu anipenda,"
"Yesu a yanna inze,","Yesu anipenda,"
"Yesu a yanza inze,",Maandiko yanasema.
Shitabu shi voola ndi.,"Yesu alitoka mbinguni,"
"Yesu ya rhula hango he,",Akaja kutufia
"Yadza, hano khukhudza","Damu yake ilimwagika,"
"Masahi gege ga rhonya,",Maandiko yanasema.
ya Shitabu shi voola ndi.,"Yesu mwokozi wa watu,"
"Yesu Musoli wa vandu,",Alikuja moyoni mwangu;
ldza mu mwoyo gwanje;,Naomba unitengeneze kwa yote;
Nyenya u nombe mugoosi;,Nikufuate milele.
Nonde iwe khazozo.,"Yesu mponyaji, wa"
"Yesu Muhonnyi, mu",Bethlehemu
Bethiehemu,Alizaliwa kama watoto wetu: Mimi nashangaa kwa sababu
Yivuiwa kuli avana vetu:  Inze ng?enyanga kigira,Mungu
Nyasaye,"Anitaka kila mara,"
"Yenyanga inze nunu,","Anitaka kila mara,"
"Yenyanga inze nunu,","Anitaka kila mara,"
"Yenyanga inze nunu,",Ninashangaa kwa sababu
Inze ng? enyanga kigira,"Mungu,"
"Nyasaye,","Anitaka kila mara,"
Yenyanga inze nunu.,"Yesu, mwokozi alisulubiwa Kalvari,"
"Yesu, Muhonnyi ya bambwa  ha Kalvari,","Na akalipia watenda dhambi deni,"
"Na a tungira avoni ligovi,","Nina furaha kwa sababu alisema,"
"Inze nyanzanga kigira ya voola,","Amebeba dhambi zangu,"
"U gingi bwoni bwange,","Amebeba dhambi zangu, Amebeba dhambi zangu"
"Yn ginga bwoni bwange,  Yagingi bwoni bwange.","Nina furaha kwa sababu alisema,"
"Inze nyanzanga kigira ya voola,","Amebeba dhambi zangu,"
Ugingi bwoni bwange.,"Yesu mponyaji, ananiambia tena"
"Yesu Muhonnyi, a mbolera  kandi",Anataka nilinde
Yenyanga inze kulinda,na anauliza;
nokuteva;,Kusafisha vyote visivyo laini.
Kwogidzwa vyosi vi ta li  vilungi.,Roho aishi nami.
Roho a menye ninze.,"Roho aishi nami,"
"Roho a menye ninze,","Roho aishi nami,"
"Roho a menye ninze,",Kusafisha vyote visivyo laini.
Kwogidzwa vyosi vitali vilungi.,"Roho aishi nami,"
Roho amenye ninze.,"Yesu mponyaji,"
"Yesu Muhonnyi,",Atakuja kuchukua watakatifu wake atakapo rudi mawinguni.
alidza kuuidza  Kuhila voosi va ye vatakase  Lwa a lirana mmalesi gegulu.,Atanichukua
A la vugula inze,"Atanichukua,"
"A Ia vugula inze,",Atanichukua.
A la vugula inze.,"Akirudi juu mawinguni, Atanichukua."
"Lwa a lirana mmalesi gegulu,  A la vugula inze.","Sikiliza hadithi, walipokuwa wakiteseka"
"Hulira lugano lwefwe, Iwa Va Iwa haari va diva","Nguvu za Mungu zije kutoka mbinguni,"
"Wiche nefwuma ye mwigulu,",Atuponye sisi sote.
A khu honie efwe fwesi.,"Atatupa bahati, Atatupa bahati"
